asset_name	archive_file	source_url	license	artist	deck
TarotCupsAce	c01.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups02	c02.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups03	c03.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups04	c04.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups05	c05.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups06	c06.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups07	c07.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups08	c08.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups09	c09.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCups10	c10.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCupsPage	c11.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCupsKnight	c12.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCupsQueen	c13.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotCupsKing	c14.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor00Fool	m00.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor01Magician	m01.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor02HighPriestess	m02.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor03Empress	m03.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor04Emperor	m04.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor05Hierophant	m05.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor06Lovers	m06.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor07Chariot	m07.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor08Strength	m08.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor09Hermit	m09.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor10WheelOfFortune	m10.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor11Justice	m11.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor12HangedMan	m12.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor13Death	m13.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor14Temperance	m14.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor15Devil	m15.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor16Tower	m16.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor17Star	m17.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor18Moon	m18.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor19Sun	m19.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor20Judgement	m20.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotMajor21World	m21.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentaclesAce	p01.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles02	p02.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles03	p03.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles04	p04.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles05	p05.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles06	p06.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles07	p07.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles08	p08.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles09	p09.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
